cust_id,full_name,location,reg_date,amount_value,customer_status,segment_type
C004,Meena Iyer,Chennai,2024-04-05,3250.00,ACTIVE,Gold
C001,Ravi Kumar,Chennai,2024-01-15,1000.00,active,Gold
C009,Vijay Anand,Madurai,2024-09-14,1980.25,ACTIVE,Gold
C006,Divya Nair,Kochi,18-06-2024,4100.75,ACTIVE,Gold
C003,Arun Raj,Hyderabad,2024-03-10,1750.50,,Bronze
C008,Anitha Devi,Coimbatore,2024-08-09,2750,ACTIVE,Silver
C002,Priya Sharma,Bengaluru,2024-02-20,2500.00,ACTIVE,Silver
C005,Suresh Babu ,Mumbai,2024-05-12,890.00,ACTIVE,Silver
C007,Karthik Rao,Pune,2024-07-22,1500.00,ACTIVE,Bronze
C010,Lakshmi Priya,Trichy,2024-10-01,3600.00,ACTIVE,Gold
C012,Sneha Reddy,Hyderabad,2024-11-03,2200.00,ACTIVE,Silver
C013,Rajesh Kumar,Chennai,2024-12-12,1800.00,ACTIVE,Bronze
